id,status,maxEntryPerUser,nftAddress,nftId,winner,extractedNumber,raisedInWei,raisedInEther,platformPercentage,requiredNFT,totalEntries,cancellingDate
463,"ended","1200","0x60E4d786628Fea6478F785A6d7e704777c86a7c6","25801","0x0fF3E36c56fb46C970aF122314d7eA3d8fBF1946","20979","37977000000000000000","37.977","0","0x0000000000000000000000000000000000000000","30129","fine non impostata"
464,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","2703","0x3cD882758d21239DC5e0DdBFE16c3F8e653832E8","0","264000000000000000","0.264","0","0x0000000000000000000000000000000000000000","36","fine non impostata"
465,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","2741","0xD5a5699041a118b889F5E76C7Dc21044633A2712","6","152000000000000000","0.152","0","0x0000000000000000000000000000000000000000","19","fine non impostata"
466,"ended","250","0x6632a9d63E142F17a668064D41A21193b49B41a0","2803","0x9ec2D14EF8a83FBB4641023110EFF8e86AA8dD2B","5","458000000000000000","0.458","0","0x0000000000000000000000000000000000000000","229","fine non impostata"
467,"ended","75","0x39ee2c7b3cb80254225884ca001F57118C8f21B6","691","0xC541BC01c71D83f10f42f5040094cdFfED5741b1","41","2457000000000000000","2.457","0","0x0000000000000000000000000000000000000000","67","fine non impostata"
468,"ended","75","0x39ee2c7b3cb80254225884ca001F57118C8f21B6","4745","0xFe1fC932D6B7E68Accb30B022433e6E17e2170F9","35","1560000000000000000","1.56","0","0x0000000000000000000000000000000000000000","42","fine non impostata"
469,"ended","75","0x39ee2c7b3cb80254225884ca001F57118C8f21B6","692","0xA6815971A7E4D608D8d3B4B5996A0de397A9c92B","23","2067000000000000000","2.067","0","0x0000000000000000000000000000000000000000","55","fine non impostata"
470,"ended","75","0x39ee2c7b3cb80254225884ca001F57118C8f21B6","3185","0xd1327c2e2b63B8f0E51D3e1218F07A332230e4ab","8","1599000000000000000","1.599","0","0x0000000000000000000000000000000000000000","44","fine non impostata"
471,"ended","75","0x39ee2c7b3cb80254225884ca001F57118C8f21B6","9381","0x0Ac4f063550bf673089b29af1A59188c8F18ACd3","0","2028000000000000000","2.028","0","0x0000000000000000000000000000000000000000","59","fine non impostata"
472,"ended","50","0x02BeeD1404c69e62b76Af6DbdaE41Bd98bcA2Eab","4955","0x6E6641923Fe552933Da54AF7B03A02EbBdCC36d1","20","280000000000000000","0.28","0","0x0000000000000000000000000000000000000000","39","fine non impostata"
